# G1（1級）専用の core 語
#
# 形式: <word> | <訳> | <例文> | <partOfSpeech> | <domain> | <category>
# 位置づけ: master.json に無い、1級（C1）帯の新規語。これが1級アプリの core（課金対象）で、
#           全語が1級専用（他エディションには載せない）。docs/vocab-database-spec.md §4。
#           canonical key は word から機械的に決まり、公開後は改名禁止。
# 方針: 例文は1文・4〜10語で、1級までの語彙で構成する（同 §6）。
#       準1級の core と重ならないことは apply スクリプトが検査する。

# === 動詞 299語 ===
abate | 弱まる、和らぐ | The storm abated before dawn. | verb | environment | B
protrude | 突き出る | A nail protruded from the plank. | verb | daily | C
purge | 一掃する | The system purges old files monthly. | verb | technology | C
quell | 鎮める | Clear figures quelled the rumors. | verb | society | C
quibble | 細かい文句を言う | Let us not quibble over wording. | verb | business | C
ramble | とりとめなく話す | The speaker rambled past the hour. | verb | education | C
ransack | 荒らし回る | Thieves ransacked the storage room. | verb | society | C
rationalize | 正当化する、合理化する | We rationalized the delivery routes. | verb | business | B
ravage | 荒廃させる | Fire ravaged the northern slope. | verb | environment | C
rebuff | はねつける | The offer was firmly rebuffed. | verb | business | C
rebuke | 叱責する | The chair rebuked the interruption. | verb | society | C
recant | 撤回する | The witness recanted her statement. | verb | society | C
reciprocate | 報いる | We hope to reciprocate the kindness. | verb | society | C
redress | 是正する | The policy redresses an old imbalance. | verb | society | C
refurbish | 改装する | The city refurbished the library. | verb | society | B
regurgitate | 復唱する、吐き戻す | Do not simply regurgitate the textbook. | verb | education | C
rehash | 焼き直す | The report rehashes last year's ideas. | verb | business | C
reinstate | 復職させる、復活させる | The worker was reinstated with pay. | verb | business | C
relegate | 格下げする | The topic was relegated to an appendix. | verb | education | C
remunerate | 報酬を払う | Volunteers are not remunerated. | verb | business | C
repeal | 廃止する | Parliament repealed the old statute. | verb | society | C
repel | 撃退する、はじく | The coating repels rain. | verb | technology | B
replicate | 再現する | Other labs replicated the finding. | verb | education | B
reprove | 戒める | The judge reproved both lawyers. | verb | society | C
repudiate | 拒絶する | The firm repudiated the rumor. | verb | business | C
rescind | 撤回する | The office rescinded the earlier notice. | verb | business | C
resonate | 共鳴する、心に響く | The message resonated with young voters. | verb | society | B
resuscitate | 蘇生させる | Paramedics resuscitated the swimmer. | verb | health | C
retaliate | 報復する | The country retaliated with higher duties. | verb | society | C
revamp | 刷新する | The museum revamped its entrance hall. | verb | society | B
reverberate | 反響する | The decision reverberated across the sector. | verb | business | C
revere | 敬う | Students revere the old professor. | verb | education | C
rupture | 破裂する | A pipe ruptured under the road. | verb | technology | C
salvage | 救い出す | Crews salvaged most of the cargo. | verb | business | B
sanction | 制裁する、認可する | The league sanctioned the club heavily. | verb | society | B
saturate | 飽和させる | Cheap imports saturated the market. | verb | business | B
savor | 味わう | Savor the quiet of early morning. | verb | daily | C
scald | やけどさせる | Hot steam can scald your hand. | verb | health | C
scorn | 軽蔑する | Experts scorned the easy answer. | verb | society | C
secede | 脱退する | Two branches seceded from the union. | verb | society | C
shatter | 粉砕する | The result shattered their confidence. | verb | general | B
shroud | 覆い隠す | Mist shrouded the whole valley. | verb | environment | C
shun | 避ける | Investors shun unclear accounting. | verb | business | C
singe | 焦がす | Sparks singed the curtain edge. | verb | daily | C
slander | 中傷する | He was accused of slandering a rival. | verb | society | C
smother | 覆い尽くす、窒息させる | Weeds smothered the young shoots. | verb | environment | C
solidify | 固める | The talks solidified the partnership. | verb | business | B
sow | 種をまく | Farmers sow wheat in late autumn. | verb | environment | B
span | 及ぶ、かかる | Her career spans four decades. | verb | business | B
spawn | 生み出す | The success spawned many imitators. | verb | business | B
splinter | 分裂する | The movement splintered into factions. | verb | society | C
sprout | 芽を出す | New cafes sprout near the campus. | verb | business | B
squander | 浪費する | The town squandered its water reserves. | verb | environment | C
stagger | よろめく、ずらす | We staggered the start times. | verb | business | B
stalk | 忍び寄る、つきまとう | Doubt stalked every meeting. | verb | general | C
startle | 驚かす | The alarm startled the whole floor. | verb | daily | B
stipulate | 明記する | The contract stipulates monthly checks. | verb | business | B
strain | 緊張させる、酷使する | Long hours strain family life. | verb | health | B
stray | それる、迷い込む | The talk strayed from the agenda. | verb | education | B
subdue | 抑える | Firefighters subdued the blaze by dawn. | verb | society | C
subjugate | 従属させる | Trade rules subjugated smaller nations. | verb | society | C
submerge | 水没させる | Rising seas may submerge the atoll. | verb | environment | B
subside | 静まる、沈む | The fever subsided overnight. | verb | health | B
substantiate | 立証する | No evidence substantiates the claim. | verb | education | C
subvert | 転覆させる | Fake reviews subvert honest competition. | verb | business | C
succeed to the throne | 王位を継承する | She succeeded to the throne at thirty. | verb | society | C
summon | 呼び出す | The court summoned three experts. | verb | society | B
supplant | 取って代わる | Electric buses supplanted diesel ones. | verb | technology | C
surmise | 推測する | We can only surmise the reason. | verb | education | C
surmount | 乗り越える | They surmounted every technical barrier. | verb | technology | C
swell | 膨張する、増大する | Crowds swelled after the announcement. | verb | society | B
tarnish | 汚す、傷つける | The scandal tarnished a long career. | verb | business | B
taunt | あざける | Never taunt a struggling classmate. | verb | education | C
thwart | 阻む | Bad weather thwarted the launch. | verb | technology | B
topple | 倒す | Strong winds toppled the old pine. | verb | environment | C
transcribe | 書き写す | Volunteers transcribe the old letters. | verb | education | C
transgress | 違反する | Anyone who transgresses loses membership. | verb | society | C
trivialize | 軽視する | Do not trivialize their concerns. | verb | society | C
truncate | 切り詰める | The system truncates long titles. | verb | technology | C
unearth | 発掘する、暴く | Researchers unearthed a rare coin. | verb | education | B
unfold | 展開する | The story unfolds over three chapters. | verb | education | B
unleash | 解き放つ | The reform unleashed a wave of startups. | verb | business | B
usher | 案内する、導く | The law ushered in a quieter era. | verb | society | C
usurp | 奪い取る | No branch may usurp that authority. | verb | society | C
vacillate | 揺れ動く | The board vacillated for months. | verb | business | C
vanquish | 打ち負かす | They vanquished a much larger rival. | verb | business | C
veer | 方向を変える | The debate veered toward funding. | verb | society | B
venerate | 崇敬する | The village venerates its founding family. | verb | society | C
vent | 発散する、吐き出す | Staff vented their frustration online. | verb | business | B
vex | 悩ませる | The question still vexes economists. | verb | education | C
vilify | 中傷する | The press vilified the young official. | verb | society | C
vindicate | 正しさを証明する | Later tests vindicated her caution. | verb | education | C
vow | 誓う | The mayor vowed to rebuild the pier. | verb | society | B
wade | 歩いて渡る、苦労して進む | We waded through hundreds of forms. | verb | business | B
waver | 揺らぐ | Support for the plan never wavered. | verb | society | B
whittle | 削り取る | Delays whittled away the savings. | verb | business | C
wield | 行使する | The committee wields real power. | verb | society | B
wrestle with | 取り組む、格闘する | Planners wrestle with rising costs. | verb | business | B
yearn | 切望する | Many city workers yearn for quiet. | verb | society | C

# === 形容詞 193語 ===
abject | 惨めな、絶望的な | The region suffers abject poverty. | adjective | society | C
abrasive | 研磨性の、とげとげしい | His abrasive manner upset the team. | adjective | business | C
acrid | 刺激臭のある | An acrid smoke filled the corridor. | adjective | environment | C
adamant | 断固とした | She was adamant about the deadline. | adjective | business | B
adroit | 器用な | He is adroit at handling complaints. | adjective | business | C
affable | 愛想のよい | The new clerk is remarkably affable. | adjective | daily | C
agile | 機敏な | Small teams stay agile. | adjective | business | B
altruistic | 利他的な | Their motive seemed genuinely altruistic. | adjective | society | C
amenable | 応じやすい | Owners were amenable to the change. | adjective | business | C
amiable | 感じのよい | An amiable host greeted us. | adjective | daily | C
anomalous | 異常な | The sensor showed anomalous readings. | adjective | technology | C
apathetic | 無関心な | Young voters are not apathetic. | adjective | society | B
appalling | ぞっとするような | The photos show appalling conditions. | adjective | society | B
arable | 耕作に適した | Arable land is shrinking here. | adjective | environment | C
arcane | 難解な | The rules remain arcane to outsiders. | adjective | society | C
archaic | 古風な、廃れた | The form uses archaic wording. | adjective | education | C
ardent | 熱烈な | She is an ardent supporter of libraries. | adjective | society | C
arduous | 骨の折れる | Restoring the roof was arduous. | adjective | general | C
astounding | 驚異的な | The recovery was astounding. | adjective | health | B
auspicious | 幸先のよい | Sales made an auspicious start. | adjective | business | C
austere | 質素な、厳格な | The room had an austere beauty. | adjective | general | C
authoritative | 権威ある | The guide is an authoritative source. | adjective | education | B
avid | 熱心な | He is an avid reader of history. | adjective | education | B
belligerent | 好戦的な | The tone grew belligerent. | adjective | society | C
benevolent | 慈悲深い | A benevolent fund pays the fees. | adjective | society | C
bleak | 荒涼とした、暗い | The outlook for exports looks bleak. | adjective | business | B
brittle | もろい | Old plastic becomes brittle. | adjective | technology | B
callous | 冷淡な | The reply seemed callous. | adjective | society | C
clandestine | 秘密の | Clandestine dumping continued for years. | adjective | environment | C
coherent argument | 筋の通った主張 | She made a coherent argument. | adjective | education | C
commendable | 称賛に値する | Their honesty is commendable. | adjective | society | B
compelling | 説得力のある | The data makes a compelling case. | adjective | education | A
complacent | 現状に甘んじた | Success made the firm complacent. | adjective | business | B
conciliatory | 融和的な | He struck a conciliatory tone. | adjective | society | C
congenial | 気の合う、快適な | The office has a congenial atmosphere. | adjective | business | C
contentious | 論争の的になる | Land use is a contentious issue. | adjective | society | B
contrite | 悔いている | The letter sounded genuinely contrite. | adjective | society | C
copious | おびただしい | She took copious notes. | adjective | education | C
cumbersome | 扱いにくい | The old system is cumbersome. | adjective | technology | B
cursory | ざっとした | A cursory check missed the crack. | adjective | technology | C
daunting | ひるませるような | The task looked daunting at first. | adjective | general | B
deft | 巧みな | A deft edit saved the chapter. | adjective | education | C
derogatory | 軽蔑的な | Derogatory remarks are not tolerated. | adjective | society | C
despondent | 落胆した | Growers were despondent after the hail. | adjective | environment | C
destitute | 極貧の | The charity helps destitute families. | adjective | society | C
devout | 敬虔な | She is a devout follower of the practice. | adjective | society | C
didactic | 教訓的な | The novel is a bit too didactic. | adjective | education | C
discernible | 識別できる | There is no discernible improvement. | adjective | education | C
disingenuous | 不誠実な | That comparison is disingenuous. | adjective | society | C
disparate | 異質の | The study combines disparate sources. | adjective | education | C
dubious | 疑わしい | The claim rests on dubious data. | adjective | education | B
eclectic | 幅広い、折衷的な | The menu is pleasantly eclectic. | adjective | daily | C
egregious | 甚だしい | It was an egregious oversight. | adjective | business | C
elated | 大喜びの | Staff were elated by the result. | adjective | daily | C
eloquent | 雄弁な | Her closing speech was eloquent. | adjective | education | B
emphatic | 断固とした | The denial was emphatic. | adjective | society | B
enigmatic | 謎めいた | The artist gave an enigmatic reply. | adjective | general | C
equivocal | あいまいな | The findings remain equivocal. | adjective | education | C
erroneous | 誤った | The bill was based on erroneous data. | adjective | business | B
exorbitant | 法外な | Some clinics charge exorbitant fees. | adjective | health | C
expedient | 好都合な、便宜的な | Delay was politically expedient. | adjective | society | C
exquisite | この上なく美しい | The lacquer work is exquisite. | adjective | general | C
fastidious | 几帳面な | He is fastidious about clean tools. | adjective | health | C
fervent | 熱烈な | She is a fervent advocate of reading. | adjective | education | C
flagrant | 目に余る | It was a flagrant breach of rules. | adjective | society | C
formidable | 手ごわい | They face a formidable rival. | adjective | business | B
fraudulent | 詐欺の | The bank froze fraudulent accounts. | adjective | business | B
frivolous | 軽薄な、つまらない | The court dismissed the frivolous claim. | adjective | society | C
furtive | こそこそした | He gave a furtive glance at the clock. | adjective | general | C
garrulous | おしゃべりな | Our garrulous guide never paused. | adjective | daily | C
gregarious | 社交的な | Dolphins are highly gregarious animals. | adjective | environment | C
gruesome | 陰惨な | The report spares the gruesome details. | adjective | society | C
haphazard | 行き当たりばったりの | The filing was haphazard at best. | adjective | business | B
harrowing | 痛ましい | Survivors gave harrowing accounts. | adjective | society | C
haughty | 横柄な | His haughty tone annoyed the staff. | adjective | society | C
heinous | 凶悪な | The law targets heinous crimes. | adjective | society | C
illicit | 違法の | Illicit logging continues at night. | adjective | environment | B
immaculate | 完璧な、汚れのない | The kitchen was immaculate. | adjective | daily | C
imminent | 差し迫った | A decision seems imminent. | adjective | business | B
impeccable | 申し分のない | Her timing was impeccable. | adjective | general | B
imperceptible | 感知できない | The change is almost imperceptible. | adjective | education | C
impervious | 影響を受けない、不浸透の | The coating is impervious to water. | adjective | technology | C
implausible | ありそうもない | The excuse sounds implausible. | adjective | education | B
impoverished | 貧困に陥った | The scheme targets impoverished districts. | adjective | society | B
inadvertent | うっかりした | An inadvertent click sent the email. | adjective | technology | B
incessant | 絶え間ない | Incessant rain delayed the harvest. | adjective | environment | C
incisive | 鋭い | She gave an incisive analysis. | adjective | education | C
inconclusive | 決定的でない | The trial results were inconclusive. | adjective | health | B
incongruous | 不釣り合いな | The tower looks incongruous here. | adjective | society | C
indignant | 憤慨した | Parents were indignant about the fee. | adjective | society | C
indiscriminate | 見境のない | Indiscriminate spraying harms bees. | adjective | environment | C
ineffectual | 効果のない | The warning proved ineffectual. | adjective | society | C
inept | 無能な | The response was slow and inept. | adjective | business | C
inexorable | 止められない | The decline seems inexorable. | adjective | society | C
infallible | 絶対に誤らない | No test is completely infallible. | adjective | education | C
ingenuous | 純朴な | Her ingenuous question amused us. | adjective | daily | C
innocuous | 無害な | The additive is innocuous in small amounts. | adjective | health | C
inordinate | 過度の | The form takes an inordinate amount of time. | adjective | business | C
insatiable | 飽くことのない | The city has an insatiable thirst for power. | adjective | environment | C
inscrutable | 計り知れない | His expression stayed inscrutable. | adjective | general | C
insidious | 気づかぬうちに広がる | Corrosion is an insidious problem. | adjective | technology | C
insipid | 味気ない | The sauce was thin and insipid. | adjective | daily | C
insolent | 無礼な | The insolent reply shocked the class. | adjective | education | C
instrumental | 助けとなる | She was instrumental in the merger. | adjective | business | B
intangible | 無形の | Trust is an intangible asset. | adjective | business | B
intermittent | 断続的な | Intermittent rain continued all week. | adjective | environment | B
intractable | 手に負えない | Homelessness is an intractable problem. | adjective | society | C
irreparable | 修復できない | The fire caused irreparable damage. | adjective | society | B
irrevocable | 取り消せない | The transfer is irrevocable. | adjective | business | C
judicious | 思慮深い | A judicious choice saved the budget. | adjective | business | C
lavish | 豪華な、惜しみない | The firm held a lavish reception. | adjective | business | B
lucid | 明快な | The lecture was lucid and short. | adjective | education | B
malicious | 悪意のある | The site blocks malicious software. | adjective | technology | B
meager | わずかな | Returns were meager this quarter. | adjective | business | B
melancholy | 憂鬱な | A melancholy tune filled the hall. | adjective | general | C
menial | 単純労働の | Menial tasks still deserve fair pay. | adjective | business | C
meticulous records | 綿密な記録 | The lab keeps meticulous records. | adjective | education | C
morose | 不機嫌な | He grew morose after the loss. | adjective | health | C
mournful | 悲しげな | A mournful whistle crossed the bay. | adjective | general | C
myriad | 無数の | Myriad small shops line the street. | adjective | society | C
negligent | 怠慢な | The firm was found negligent. | adjective | society | B
nocturnal | 夜行性の | Owls are strictly nocturnal. | adjective | environment | B
obstinate | 頑固な | The stain proved obstinate. | adjective | daily | C
odious | 忌まわしい | The practice is simply odious. | adjective | society | C
