# GP1（準1級）専用の core 語
#
# 形式: <word> | <訳> | <例文> | <partOfSpeech> | <domain> | <category>
# 位置づけ: master.json に無い、準1級（B2）帯の新規語。G2 core から再利用する745語と
#           合わせて準1級アプリの core（課金対象）になる（docs/vocab-database-spec.md §4）。
#           canonical key は word から機械的に決まり、公開後は改名禁止。
# 方針: 例文は1文・4〜10語・準1級までの語彙で構成する（同 §6）。
#       頻出度Aの語・副詞・句動詞は gp1_new_bridge.txt（無料帯）に分けてある。
#       core を1,500語以内に収めるため（同 §3「core の語数は1,000〜1,500語」）。

# === 動詞 190語 ===
abide | 従う、耐える | We must abide by the committee's decision. | verb | society | C
perpetuate | 永続させる | Old textbooks perpetuate false images. | verb | education | C
pertain | 関係する | These rules pertain to part-time staff. | verb | business | C
plummet | 急落する | Ticket prices plummeted after the holiday. | verb | business | C
ponder | じっくり考える | She pondered the offer for two days. | verb | general | C
populate | 住む、居住させる | Few families populate the island now. | verb | society | C
preclude | 妨げる、不可能にする | Bad weather precluded any outdoor work. | verb | environment | C
presume | 推定する | We presume the data is accurate. | verb | education | B
proclaim | 宣言する | The mayor proclaimed a day of rest. | verb | society | C
propel | 推進する | Cheap batteries propel the electric car market. | verb | technology | C
prosper | 繁栄する | The port town prospered for centuries. | verb | business | B
purify | 浄化する | Reeds help purify the river water. | verb | environment | B
quench | 渇きをいやす | Cold barley tea quenches summer thirst. | verb | daily | C
ratify | 批准する | Parliament ratified the climate treaty. | verb | society | C
rebound | 回復する、跳ね返る | Tourism rebounded after two quiet years. | verb | business | B
recede | 後退する | The floodwater receded by morning. | verb | environment | C
reclaim | 再生する、取り戻す | The city reclaimed land from the bay. | verb | environment | C
rectify | 是正する | The bank rectified the billing error. | verb | business | C
redeem | 引き換える、償う | You can redeem points for free drinks. | verb | business | C
refute | 反論する | New data refutes the old theory. | verb | education | C
reiterate | 繰り返して言う | The doctor reiterated the safety advice. | verb | health | C
relinquish | 手放す | He relinquished his seat on the board. | verb | business | C
remodel | 改装する | They remodeled the kitchen last autumn. | verb | daily | B
renounce | 放棄する | She renounced her claim to the land. | verb | society | C
replenish | 補充する | Staff replenish the shelves every morning. | verb | business | C
reprimand | 叱責する | The driver was reprimanded for speeding. | verb | business | C
resent | 憤慨する | Workers resent the sudden schedule change. | verb | business | B
restrain | 抑える | Try to restrain your spending this month. | verb | daily | B
revert | 戻る | The system reverts to the old setting. | verb | technology | C
revitalize | 再活性化する | Festivals revitalize the shopping street. | verb | society | C
revoke | 取り消す | The city revoked the building permit. | verb | society | C
scrutinize | 精査する | Auditors scrutinize every large payment. | verb | business | C
soar | 急上昇する | Fuel prices soared over the winter. | verb | business | B
solicit | 求める、募る | The school solicited donations for books. | verb | education | C
spur | 拍車をかける | Tax cuts spurred new housing demand. | verb | business | C
stagnate | 停滞する | Wages stagnated for nearly a decade. | verb | business | C
stifle | 抑圧する | Strict rules stifle creative thinking. | verb | education | C
streamline | 効率化する | The clinic streamlined its booking system. | verb | business | B
subsidize | 補助金を出す | The state subsidizes rural bus routes. | verb | society | B
succumb | 屈する | Many crops succumbed to the long drought. | verb | environment | C
supersede | 取って代わる | Digital maps superseded paper ones. | verb | technology | C
surge | 急増する | Online orders surged during the holidays. | verb | business | B
tamper | 勝手にいじる | Do not tamper with the safety valve. | verb | technology | C
testify | 証言する | Two neighbors testified at the hearing. | verb | society | C
thrive | 繁栄する、よく育つ | Herbs thrive in this sunny window. | verb | environment | B
transcend | 超越する | Music transcends language barriers. | verb | general | C
uncover | 発見する、暴く | Researchers uncovered an old trade route. | verb | education | B
underlie | 根底にある | Poverty underlies many health problems. | verb | society | C
undermine | 弱体化させる | Rumors undermine trust in the brand. | verb | business | B
unveil | 発表する、公開する | The maker unveiled a lighter model. | verb | technology | B
uphold | 支持する、守る | The court upheld the earlier decision. | verb | society | C
validate | 妥当性を確かめる | Tests validate the new safety design. | verb | technology | B
venture | 思い切って行う | The firm ventured into overseas markets. | verb | business | B
waive | 免除する | The bank waived the transfer fee. | verb | business | C
wane | 衰える | Interest in the contest waned quickly. | verb | society | C
weave | 織る、編み上げる | Local artisans weave cloth by hand. | verb | daily | B
widen the gap | 格差を広げる | Remote work may widen the income gap. | verb | society | B

# === 形容詞 195語 ===
abrupt | 突然の、ぶっきらぼうな | The meeting came to an abrupt end. | adjective | business | B
absurd | ばかげた | The rumor sounds completely absurd. | adjective | general | B
accountable | 責任がある | Managers are accountable for safety. | adjective | business | B
acute | 鋭い、深刻な | The village faces an acute water shortage. | adjective | society | B
adept | 熟達した | She is adept at solving customer complaints. | adjective | business | C
adjacent | 隣接した | The clinic stands adjacent to the station. | adjective | general | B
affluent | 裕福な | The school serves an affluent neighborhood. | adjective | society | C
ample | 十分な | There is ample space for two desks. | adjective | general | B
apt | 適切な、〜しがちな | That is an apt description of the problem. | adjective | education | C
arrogant | 傲慢な | Nobody enjoys working with an arrogant boss. | adjective | society | B
assertive | 自己主張の強い | Be assertive but polite in negotiations. | adjective | business | C
barren | 不毛の | Nothing grows on the barren hillside. | adjective | environment | C
bizarre | 奇妙な | The painting has a bizarre sense of color. | adjective | general | C
bland | 味気ない | The soup tasted bland without salt. | adjective | daily | C
blunt | 率直な、鈍い | His blunt remark upset the client. | adjective | business | C
brutal | 残忍な、厳しい | The team faced a brutal training schedule. | adjective | health | C
bulky | かさばる | Bulky luggage costs extra on this airline. | adjective | daily | C
candid | 率直な | She gave a candid answer about the delay. | adjective | business | C
chaotic | 混沌とした | The station was chaotic during the typhoon. | adjective | society | B
coarse | 粗い | The rope felt coarse in my hands. | adjective | daily | C
concise | 簡潔な | Keep the summary short and concise. | adjective | education | B
considerate | 思いやりのある | He is considerate toward older neighbors. | adjective | daily | B
constructive | 建設的な | The reviewer gave constructive comments. | adjective | education | B
contagious | 伝染性の | The illness is highly contagious in winter. | adjective | health | B
costly | 高くつく | Replacing the roof proved costly. | adjective | business | B
crude | 粗雑な、原油の | The first model was a crude prototype. | adjective | technology | C
cynical | 皮肉な | Voters grew cynical about the promises. | adjective | society | C
deceptive | 人を欺く | The label used deceptive wording. | adjective | business | C
defective | 欠陥のある | The shop replaced the defective battery. | adjective | technology | B
deficient | 不足した | Their diet was deficient in iron. | adjective | health | C
definitive | 決定的な | There is no definitive answer yet. | adjective | education | C
demanding | 要求の厳しい | Nursing is a physically demanding job. | adjective | health | B
dense | 密集した、濃い | Dense fog covered the valley. | adjective | environment | B
detrimental | 有害な | Long screen time is detrimental to sleep. | adjective | health | B
devastating | 壊滅的な | The flood had a devastating effect on crops. | adjective | environment | B
discreet | 慎重な、控えめな | Please be discreet about the merger. | adjective | business | C
disposable | 使い捨ての | The cafe stopped using disposable cups. | adjective | environment | B
disruptive | 破壊的な、混乱させる | Streaming was disruptive to the music industry. | adjective | technology | C
distinctive | 独特の | The bird has a distinctive orange beak. | adjective | environment | B
diverse backgrounds | 多様な背景 | Our staff come from diverse backgrounds. | adjective | society | B
eccentric | 風変わりな | Her eccentric style attracts attention. | adjective | general | C
elusive | とらえどころのない | A clear cause remains elusive. | adjective | education | C
eminent | 著名な | An eminent scholar opened the conference. | adjective | education | C
enduring | 永続的な | The treaty brought an enduring peace. | adjective | society | C
equitable | 公平な | We need an equitable share of the cost. | adjective | society | C
erratic | 不規則な | The engine made an erratic noise. | adjective | technology | C
exotic | 異国風の | The market sells exotic fruit. | adjective | daily | B
extravagant | 浪費的な、豪華な | The party was criticized as extravagant. | adjective | business | C
faint | かすかな | A faint smell of coffee filled the room. | adjective | daily | B
feeble | 弱々しい | The patient gave a feeble smile. | adjective | health | C
fertile | 肥沃な | The delta has very fertile soil. | adjective | environment | B
finite | 有限の | Fossil fuels are a finite resource. | adjective | environment | B
fiscal | 財政の | The fiscal year ends in March. | adjective | business | B
frank | 率直な | To be frank, the design needs work. | adjective | daily | B
frugal | 倹約な | Her frugal habits helped her save. | adjective | daily | C
futile | 無駄な | Further debate seemed futile. | adjective | society | C
generic | 一般的な、無印の | The generic drug costs far less. | adjective | health | B
gloomy | 陰気な、悲観的な | The forecast for exports looks gloomy. | adjective | business | B
graceful | 優雅な | The dancer made a graceful turn. | adjective | general | C
grim | 厳しい、暗い | The report paints a grim picture. | adjective | society | C
hazardous | 危険な | Old paint can be hazardous waste. | adjective | environment | B
hectic | 大忙しの | December is a hectic month for shops. | adjective | business | B
hereditary | 遺伝性の | The condition is partly hereditary. | adjective | health | C
hollow | 中が空の | The tree trunk was completely hollow. | adjective | environment | B
homogeneous | 均質な | The sample was not homogeneous enough. | adjective | education | C
hypothetical | 仮説の | Let us consider a hypothetical case. | adjective | education | C
idle | 何もしない、遊休の | The machines sat idle for weeks. | adjective | business | B
immature | 未熟な | His reaction seemed rather immature. | adjective | education | B
immune | 免疫のある | No industry is immune to rising costs. | adjective | health | B
imperative | 絶対必要な | It is imperative to act before winter. | adjective | society | C
impulsive | 衝動的な | Impulsive buying wastes money. | adjective | daily | B
indifferent | 無関心な | Young voters seem indifferent to the issue. | adjective | society | B
indigenous | 先住の、固有の | Indigenous plants need less water. | adjective | environment | C
inferior | 劣った | The copy was clearly inferior. | adjective | business | B
infinite | 無限の | Data storage is not infinite. | adjective | technology | B
ingenious | 独創的な | The students built an ingenious water filter. | adjective | technology | C
inherent | 固有の、本質的な | Every trip carries inherent risks. | adjective | general | B
innate | 生まれつきの | Curiosity seems innate in children. | adjective | education | C
intact | 無傷の | The old shrine remained intact. | adjective | society | B
integral | 不可欠な | Rice is integral to the local diet. | adjective | daily | B
intentional | 意図的な | The delay was not intentional. | adjective | business | B
intricate | 複雑に入り組んだ | The carving shows intricate patterns. | adjective | general | C
intrinsic | 本質的な | Reading has intrinsic value. | adjective | education | C
ironic | 皮肉な | It is ironic that the safest road is empty. | adjective | general | B
lengthy | 長々とした | The lengthy form discourages applicants. | adjective | business | B
lenient | 寛大な | The judge was lenient with first offenders. | adjective | society | C
lethal | 致命的な | The chemical is lethal to fish. | adjective | environment | C
literal | 文字どおりの | This is not the literal meaning. | adjective | education | B
lucrative | もうかる | Tourism is a lucrative business here. | adjective | business | C
magnificent | 壮大な | The view from the pass is magnificent. | adjective | general | B
marginal | わずかな、周辺の | Profits showed only marginal growth. | adjective | business | B
mediocre | 平凡な | The film received mediocre reviews. | adjective | general | C
meticulous | 細心の | Her notes are meticulous and clear. | adjective | education | C
miserable | みじめな | Cold rain made the trip miserable. | adjective | daily | B
misleading | 誤解を招く | The graph is slightly misleading. | adjective | education | B
monotonous | 単調な | The work became monotonous after a month. | adjective | business | C
mundane | 平凡な、日常の | She finds joy in mundane routines. | adjective | daily | C
naive | 世間知らずの | It is naive to expect quick results. | adjective | society | B
negligible | 無視できるほどの | The price difference is negligible. | adjective | business | C
nominal | 名目上の、わずかな | Members pay a nominal yearly fee. | adjective | business | C
nostalgic | 懐かしい | The photos made us feel nostalgic. | adjective | daily | B
notorious | 悪名高い | This crossing is notorious for accidents. | adjective | society | C
obsolete | 時代遅れの | Fax machines are nearly obsolete. | adjective | technology | B
offensive | 不快な、攻撃的な | The joke was offensive to many viewers. | adjective | society | B
ominous | 不吉な | Ominous clouds gathered over the bay. | adjective | environment | C
opaque | 不透明な | The rules remain opaque to newcomers. | adjective | business | C
overt | 公然の | There was no overt sign of trouble. | adjective | society | C
painstaking | 骨の折れる | Restoring the painting was painstaking work. | adjective | general | C
partial | 部分的な、偏った | We received only a partial refund. | adjective | business | B
passive | 受動的な | Passive listening is not enough. | adjective | education | B
peculiar | 奇妙な、特有の | The soup had a peculiar taste. | adjective | daily | B
perpetual | 絶え間ない | He lives in perpetual fear of failure. | adjective | health | C
pertinent | 適切な、関連する | Please keep your questions pertinent. | adjective | education | C
plausible | もっともらしい | That sounds like a plausible explanation. | adjective | education | B
plentiful | 豊富な | Water is plentiful in this valley. | adjective | environment | B
potent | 効力の強い | The medicine is potent but safe. | adjective | health | C
pragmatic | 実際的な | We took a pragmatic approach to costs. | adjective | business | B
precarious | 不安定な | Many young workers are in precarious jobs. | adjective | society | C
preliminary | 予備の | These are preliminary results only. | adjective | education | B
premature | 時期尚早の | Any conclusion now seems premature. | adjective | education | B
prestigious | 名声のある | She won a prestigious design award. | adjective | education | B
prevalent | 広く行き渡った | Remote work is prevalent in this industry. | adjective | business | B
primitive | 原始的な | Early tools look primitive to us. | adjective | education | B
profound | 深い、重大な | The discovery had a profound effect. | adjective | education | B
prolonged | 長引く | A prolonged strike hurt the port. | adjective | business | B
prosperous | 繁栄した | The town grew prosperous through trade. | adjective | business | B
provisional | 暫定的な | These figures are provisional. | adjective | business | C
questionable | 疑わしい | The data is of questionable quality. | adjective | education | B
reckless | 無謀な | Reckless driving causes many accidents. | adjective | society | B
redundant | 余分な、重複した | Delete the redundant sentences. | adjective | education | B
refined | 洗練された、精製した | The design is simple and refined. | adjective | general | B
relentless | 容赦ない | The heat has been relentless this week. | adjective | environment | C
renowned | 名高い | The city is renowned for its pottery. | adjective | society | B
repetitive | 反復的な | Repetitive tasks suit machines better. | adjective | business | B
resilient | 回復力のある | Coral reefs are less resilient than before. | adjective | environment | B
respectable | 立派な、まずまずの | The team finished in a respectable third. | adjective | general | B
responsive | 反応が早い | The staff are responsive to complaints. | adjective | business | B
restless | 落ち着かない | The children grew restless on the bus. | adjective | daily | B
robust | 頑丈な、堅調な | We need a robust backup system. | adjective | technology | B
sacred | 神聖な | The grove is sacred to local people. | adjective | society | B
scenic | 景色のよい | We took the scenic route home. | adjective | daily | B
secular | 世俗の | The school offers secular education. | adjective | society | C
selective | 選択的な | Be selective about your sources. | adjective | education | B
serene | 穏やかな | The lake looked serene at dawn. | adjective | environment | C
sheer | まったくの、切り立った | The sheer size of the crowd surprised us. | adjective | general | B
shrewd | 抜け目のない | She is a shrewd negotiator. | adjective | business | C
simultaneous | 同時の | The talk had simultaneous translation. | adjective | technology | B
sluggish | 低迷した、のろい | Sales have been sluggish since spring. | adjective | business | B
sober | しらふの、真面目な | The report gives a sober assessment. | adjective | society | C
sparse | まばらな | Housing is sparse along this coast. | adjective | society | C
spatial | 空間の | The test measures spatial ability. | adjective | education | C
stagnant | 停滞した | Wages have stayed stagnant for years. | adjective | business | B
static | 静的な、変化のない | Membership numbers remain static. | adjective | business | C
sterile | 無菌の、不毛の | All tools must be sterile. | adjective | health | C
strenuous | 激しい、骨の折れる | Avoid strenuous exercise after surgery. | adjective | health | C
stubborn | 頑固な | He is stubborn about old methods. | adjective | daily | B
sturdy | 丈夫な | The shelves are simple but sturdy. | adjective | daily | B
subjective | 主観的な | Taste is entirely subjective. | adjective | education | B
superficial | 表面的な | The damage was only superficial. | adjective | general | B
superfluous | 余分な | Remove any superfluous detail. | adjective | education | C
supreme | 最高の | The court made a supreme effort to be fair. | adjective | society | B
susceptible | 影響を受けやすい | Older trees are susceptible to disease. | adjective | environment | C
symbolic | 象徴的な | The gesture was purely symbolic. | adjective | society | B
systematic | 体系的な | We need a systematic review of costs. | adjective | education | B
tangible | 具体的な、有形の | The plan produced tangible results. | adjective | business | B
tedious | 退屈な | Checking every form is tedious. | adjective | business | B
tentative | 暫定的な、ためらいがちな | We reached a tentative agreement. | adjective | business | B
thriving | 繁盛している | The town has a thriving craft market. | adjective | business | B
timid | 臆病な | The kitten is still timid with guests. | adjective | daily | C
tolerant | 寛容な | This plant is tolerant of dry soil. | adjective | environment | B
tranquil | 静かな | We stayed in a tranquil mountain inn. | adjective | daily | C
trivial | ささいな | Do not argue over trivial details. | adjective | general | B
turbulent | 荒れた、激動の | The flight was turbulent over the sea. | adjective | technology | C
unanimous | 全員一致の | The vote was unanimous. | adjective | society | B
unavoidable | 避けられない | Some delay was unavoidable. | adjective | general | B
uncommon | まれな | Heavy snow is uncommon in this city. | adjective | environment | B
unconscious | 意識のない、無意識の | The driver was unconscious for a minute. | adjective | health | B
underlying | 根底にある | We must treat the underlying cause. | adjective | health | B
undesirable | 望ましくない | The rule had undesirable side effects. | adjective | society | B
unethical | 非倫理的な | Hiding the test data was unethical. | adjective | business | B
unfavorable | 好ましくない | The review was quite unfavorable. | adjective | business | B
unprecedented | 前例のない | The heat reached unprecedented levels. | adjective | environment | B
unreliable | 当てにならない | The old sensor is unreliable. | adjective | technology | B
upright | 直立した、正直な | Keep the seat in an upright position. | adjective | daily | B
utmost | 最大限の | Handle the samples with utmost care. | adjective | general | C
vain | 無駄な、うぬぼれた | Their efforts proved vain. | adjective | general | B
verbal | 言葉による | We had only a verbal agreement. | adjective | business | B
vibrant | 活気のある | The port has a vibrant night market. | adjective | society | B
vicious | 悪質な、猛烈な | Debt can create a vicious circle. | adjective | society | C
vigilant | 警戒している | Stay vigilant during the dry season. | adjective | society | C
vocal | 声高な、声の | Residents were vocal about the noise. | adjective | society | C
wary | 用心深い | Consumers are wary of hidden fees. | adjective | business | B
weary | 疲れ果てた | The crew looked weary after the flight. | adjective | health | C
wholesome | 健康によい | The cafe serves simple wholesome meals. | adjective | health | C
worthy | 価値のある | The charity is worthy of support. | adjective | society | B

# === 名詞 361語 ===
accommodation cost | 宿泊費 | Accommodation costs doubled during the festival. | noun | daily | B
acquisition | 買収、習得 | The acquisition doubled the firm's size. | noun | business | B
activist | 活動家 | Local activists saved the old theater. | noun | society | B
admiration | 賞賛 | He earned the admiration of his team. | noun | society | B
adolescent | 青年期の若者 | The clinic treats adolescents only. | noun | health | B
adversity | 逆境 | She kept studying through great adversity. | noun | society | C
affiliate | 系列会社 | The bank opened an affiliate in Osaka. | noun | business | C
aggression | 攻撃性 | The training reduces aggression in dogs. | noun | health | C
altitude | 高度 | The plane lost altitude slowly. | noun | technology | B
ambiguity | あいまいさ | The contract leaves room for ambiguity. | noun | business | C
ambition to succeed | 成功への野心 | Her ambition to succeed never faded. | noun | education | B
anatomy | 解剖学、構造 | Students study basic human anatomy. | noun | health | C
anecdote | 逸話 | He opened with a short anecdote. | noun | education | C
anonymity | 匿名性 | Online anonymity encourages rude comments. | noun | technology | C
antibody | 抗体 | The test measures antibody levels. | noun | health | B
applause | 拍手 | The speech received long applause. | noun | general | B
appraisal | 評価、査定 | The annual appraisal takes thirty minutes. | noun | business | C
apprenticeship | 見習い期間 | He began a three-year apprenticeship. | noun | business | C
aptitude test | 適性検査 | Applicants take a short aptitude test. | noun | education | C
archaeology | 考古学 | She teaches archaeology at the college. | noun | education | C
artifact | 遺物、人工物 | The museum displays bronze artifacts. | noun | education | B
aspiration | 願望 | The survey asked about career aspirations. | noun | education | B
assault | 暴行、攻撃 | He was charged with assault. | noun | society | C
assembly | 議会、集会 | The town assembly meets on Fridays. | noun | society | B
