# GP2（準2級）専用の core 語
#
# 形式: <word> | <訳> | <例文> | <partOfSpeech> | <domain> | <category>
# 位置づけ: 2級アプリの語彙（3,955語）に無い、準2級（A2）帯の語。
#           これが準2級アプリの「買う理由」になる（docs/vocab-database-spec.md §4 ルールA）。
#           canonical key は word から機械的に決まり、公開後は改名禁止。
# 方針: 例文は1文・4〜10語・準2級までの語彙で構成する（同 §6）
apron | エプロン | She wore an apron while cooking. | noun | daily | C
wake up call | モーニングコール | I asked for a wake up call at six. | noun | daily | C
academic record | 成績記録 | The school keeps every academic record. | noun | education | C
after school | 放課後 | We practice tennis after school. | adverb | education | A
answer sheet | 解答用紙 | Write your name on the answer sheet. | noun | education | B
book report | 読書感想文 | I finished my book report last night. | noun | education | B
brainstorm | 意見を出し合う | Let us brainstorm ideas for the poster. | verb | education | C
break time | 休み時間 | We chat during break time. | noun | education | B
bulletin board | 掲示板 | Notices are posted on the bulletin board. | noun | education | B
calculator | 計算機 | You may not use a calculator. | noun | education | B
class president | 学級委員長 | She was chosen as class president. | noun | education | C
club activity | 部活動 | Club activities start after lunch. | noun | education | A
correct answer | 正解 | Only one correct answer is allowed. | noun | education | A
counselor | 相談員 | The school counselor listened carefully. | noun | education | B
course schedule | 履修予定 | Check your course schedule online. | noun | education | C
cram school | 塾 | Many students attend cram school. | noun | education | B
detention | 居残り | He got detention for being late. | noun | education | C
dropout | 中退者 | The school helps every dropout return. | noun | education | C
essay topic | 作文の題 | Choose an essay topic you like. | noun | education | B
exam result | 試験結果 | The exam results come out Friday. | noun | education | A
extra credit | 追加点 | You can earn extra credit for this. | noun | education | C
grade point | 評点 | Her grade point improved this term. | noun | education | C
group work | 共同作業 | We finished the group work quickly. | noun | education | B
gym class | 体育の授業 | Gym class is my favorite. | noun | education | A
homeroom | ホームルーム | Homeroom starts at eight forty. | noun | education | B
honor student | 優等生 | He has been an honor student for years. | noun | education | C
lecture note | 講義ノート | She lent me her lecture notes. | noun | education | B
lesson plan | 指導案 | The teacher prepared a lesson plan. | noun | education | C
multiple choice | 多肢選択 | The test uses multiple choice questions. | noun | education | B
notebook page | ノートの一枚 | He tore out a notebook page. | noun | education | C
oral test | 口頭試験 | The oral test lasted ten minutes. | noun | education | B
pass mark | 合格点 | The pass mark is sixty percent. | noun | education | C
pencil case | 筆箱 | My pencil case is full of pens. | noun | education | B
reading list | 読書リスト | The teacher gave us a reading list. | noun | education | C
report card | 通知表 | My report card arrived yesterday. | noun | education | B
review session | 復習の時間 | A review session is held before exams. | noun | education | C
school festival | 学園祭 | Our school festival is in November. | noun | education | A
school rule | 校則 | School rules must be followed. | noun | education | B
school trip | 修学旅行 | The school trip was to Nara. | noun | education | A
science fair | 科学展 | His project won the science fair. | noun | education | B
staff room | 職員室 | Ask your teacher in the staff room. | noun | education | B
student council | 生徒会 | The student council planned the event. | noun | education | B
study abroad | 留学する | She wants to study abroad next year. | verb | education | A
study group | 勉強会 | We formed a study group for math. | noun | education | B
subject teacher | 教科担任 | Ask your subject teacher about it. | noun | education | C
summer course | 夏期講習 | He took a summer course in English. | noun | education | B
teaching material | 教材 | New teaching materials arrived today. | noun | education | C
term paper | 学期末論文 | My term paper is almost finished. | noun | education | B
textbook page | 教科書のページ | Open your textbook page thirty. | noun | education | C
vocabulary test | 単語テスト | We have a vocabulary test tomorrow. | noun | education | A
whiteboard | ホワイトボード | She drew a chart on the whiteboard. | noun | education | B
writing skill | 文章力 | Reading improves your writing skill. | noun | education | B
bank account | 銀行口座 | I opened a bank account yesterday. | noun | business | A
bank clerk | 銀行員 | The bank clerk counted the money. | noun | business | B
bonus | 賞与 | Workers received a summer bonus. | noun | business | B
branch office | 支店 | He works at the branch office. | noun | business | B
business card | 名刺 | Please take my business card. | noun | business | B
business hours | 営業時間 | Our business hours are nine to six. | noun | business | A
business trip | 出張 | He is on a business trip to Osaka. | noun | business | A
cash register | レジ | Please pay at the cash register. | noun | business | B
cashier | レジ係 | The cashier gave me the change. | noun | business | B
checkout counter | 会計台 | A long line formed at the checkout counter. | noun | business | B
coffee break | 休憩 | Let us take a coffee break. | noun | business | B
complaint form | 苦情用紙 | Fill in the complaint form here. | noun | business | C
coworker | 同僚 | A coworker recommended this cafe. | noun | business | B
customer review | 客の評価 | Customer reviews of the hotel were good. | noun | business | B
day off | 休日 | Tuesday is my day off. | noun | business | A
discount coupon | 割引券 | Use this discount coupon before Sunday. | noun | business | B
earn a living | 生計を立てる | He earns a living by teaching. | verb | business | B
exchange rate | 為替相場 | The exchange rate changed sharply. | noun | business | B
free sample | 試供品 | They handed out free samples. | noun | business | B
full refund | 全額返金 | She asked for a full refund. | noun | business | B
in stock | 在庫がある | That size is not in stock. | adjective | business | B
job fair | 就職説明会 | Many students visited the job fair. | noun | business | B
job opening | 求人 | There is a job opening at the cafe. | noun | business | B
lunch break | 昼休み | Our lunch break lasts one hour. | noun | business | A
mail order | 通信販売 | She bought the desk by mail order. | noun | business | C
manager position | 管理職 | He applied for a manager position. | noun | business | C
market price | 市場価格 | Market prices rose last month. | noun | business | B
meeting room | 会議室 | The meeting room is on the fifth floor. | noun | business | B
minimum wage | 最低賃金 | The minimum wage went up. | noun | business | B
name tag | 名札 | Every guest wore a name tag. | noun | business | C
night shift | 夜勤 | He works the night shift twice a week. | noun | business | B
office supplies | 事務用品 | We ordered more office supplies. | noun | business | C
online shopping | ネット通販 | Online shopping saves time. | noun | business | A
order form | 注文書 | Please complete the order form. | noun | business | B
out of stock | 在庫切れ | That model is out of stock. | adjective | business | B
paycheck | 給料 | My paycheck comes on the twenty fifth. | noun | business | B
pay raise | 昇給 | She asked for a pay raise. | noun | business | B
price list | 価格表 | Ask the shop for a price list. | noun | business | C
receipt copy | 領収書の控え | Keep a receipt copy for the office. | noun | business | C
sales clerk | 販売員 | A sales clerk showed me the shoes. | noun | business | B
sales report | 売上報告 | The sales report is due today. | noun | business | B
service charge | サービス料 | A service charge is added at night. | noun | business | C
shopping mall | 商業施設 | We met at the shopping mall. | noun | business | A
staff member | 職員 | A staff member will help you soon. | noun | business | B
supervisor | 上司 | My supervisor approved the plan. | noun | business | B
tax free | 免税の | This shop has a tax free counter. | adjective | business | B
trainee | 研修生 | The trainee starts work on Monday. | noun | business | C
wholesale | 卸売の | They buy rice at wholesale prices. | adjective | business | C
work experience | 職業体験 | Students gain work experience in summer. | noun | business | B
band aid | ばんそうこう | Put a band aid on the cut. | noun | health | B
blood pressure | 血圧 | The nurse checked my blood pressure. | noun | health | B
blood test | 血液検査 | He had a blood test this morning. | noun | health | B
breathe deeply | 深呼吸する | Breathe deeply and relax. | verb | health | B
checkup | 健康診断 | I have a checkup once a year. | noun | health | A
dizzy | めまいがする | I felt dizzy after standing up. | adjective | health | B
emergency room | 救急室 | They rushed him to the emergency room. | noun | health | B
eye drop | 目薬 | Use these eye drops twice a day. | noun | health | C
first aid kit | 救急箱 | Keep a first aid kit in the car. | noun | health | B
food poisoning | 食中毒 | Several guests got food poisoning. | noun | health | B
health insurance | 健康保険 | Health insurance covers most costs. | noun | health | B
heartbeat | 心拍 | His heartbeat returned to normal. | noun | health | C
hospital bed | 病床 | Every hospital bed was full. | noun | health | C
injection | 注射 | The injection did not hurt at all. | noun | health | B
medicine cabinet | 薬棚 | The pills are in the medicine cabinet. | noun | health | C
mental health | 心の健康 | Sleep is important for mental health. | noun | health | B
nurse station | 看護師詰所 | Ask at the nurse station. | noun | health | C
operation room | 手術室 | The operation room was ready. | noun | health | C
painkiller | 鎮痛剤 | She took a painkiller for her headache. | noun | health | B
pill | 錠剤 | Take one pill after each meal. | noun | health | B
recover from | 回復する | He recovered from the flu in a week. | verb | health | A
side effect | 副作用 | This medicine has few side effects. | noun | health | B
sleep well | よく眠る | I did not sleep well last night. | verb | health | A
stay in shape | 体調を保つ | Running helps me stay in shape. | verb | health | B
stomachache | 腹痛 | He had a stomachache after lunch. | noun | health | B
toothache | 歯痛 | A toothache kept me awake. | noun | health | B
wheelchair ramp | 車いす用傾斜路 | A wheelchair ramp was added last year. | noun | health | C
acorn | どんぐり | Squirrels gather acorns in autumn. | noun | environment | C
air pollution | 大気汚染 | Air pollution worsens in summer. | noun | environment | A
beehive | 蜂の巣 | A beehive hangs from that branch. | noun | environment | C
coral reef | サンゴ礁 | The coral reef is slowly dying. | noun | environment | B
dust storm | 砂嵐 | A dust storm closed the airport. | noun | environment | C
earthquake drill | 地震訓練 | We had an earthquake drill today. | noun | environment | B
frost | 霜 | Frost covered the field this morning. | noun | environment | C
global warming | 地球温暖化 | Global warming affects every country. | noun | environment | A
grassland | 草原 | Wild horses run across the grassland. | noun | environment | C
hive | 巣箱 | The farmer keeps bees in a hive. | noun | environment | C
landslide | 地滑り | A landslide blocked the mountain road. | noun | environment | C
litter | ごみを捨てる | Do not litter in the park. | verb | environment | B
marine life | 海洋生物 | Plastic harms marine life. | noun | environment | B
natural resource | 天然資源 | Water is a precious natural resource. | noun | environment | B
ozone layer | オゾン層 | The ozone layer protects the earth. | noun | environment | B
peninsula | 半島 | A small town sits on the peninsula. | noun | environment | C
pine tree | 松の木 | Pine trees grow along the shore. | noun | environment | B
renewable energy | 再生可能エネルギー | Renewable energy is growing fast. | noun | environment | B
riverbank | 川岸 | We walked along the riverbank. | noun | environment | C
sandstorm | 砂嵐 | A sandstorm hit the desert town. | noun | environment | C
seashell | 貝がら | She collected seashells on the beach. | noun | environment | C
swamp | 沼地 | Frogs live in the swamp. | noun | environment | C
tide pool | 潮だまり | Small crabs hide in the tide pool. | noun | environment | C
trunk | 幹 | The trunk of this tree is huge. | noun | environment | B
water shortage | 水不足 | A water shortage hit the region. | noun | environment | B
aisle seat | 通路側の席 | I prefer an aisle seat on long flights. | noun | daily | B
arrival gate | 到着ゲート | We waited at the arrival gate. | noun | daily | B
boarding time | 搭乗時刻 | Boarding time is thirty minutes before departure. | noun | daily | B
book a room | 部屋を予約する | I booked a room for two nights. | verb | daily | A
bullet train | 新幹線 | The bullet train reaches Kyoto quickly. | noun | daily | B
bus stop sign | バス停の標識 | The bus stop sign was knocked down. | noun | daily | C
cancel a flight | 便を欠航する | Snow canceled our flight. | verb | daily | B
carry on bag | 機内持ち込み手荷物 | Your carry on bag is too large. | noun | daily | B
departure time | 出発時刻 | The departure time changed to noon. | noun | daily | B
express train | 急行列車 | Take the express train to save time. | noun | daily | B
front desk | フロント | Leave the key at the front desk. | noun | daily | A
guided tour | 案内付きの見学 | We joined a guided tour of the castle. | noun | daily | B
highway exit | 高速道路の出口 | Take the next highway exit. | noun | daily | B
hotel guest | 宿泊客 | Hotel guests may use the pool. | noun | daily | B
last train | 終電 | I almost missed the last train. | noun | daily | A
local specialty | 名産品 | This town is famous for a local specialty. | noun | daily | B
lost and found | 遺失物取扱所 | Ask at the lost and found office. | noun | daily | B
one way ticket | 片道切符 | A one way ticket costs less. | noun | daily | B
overhead bin | 頭上の物入れ | Put your bag in the overhead bin. | noun | daily | C
package tour | 団体旅行 | They joined a package tour to Italy. | noun | daily | B
railway crossing | 踏切 | The gate closed at the railway crossing. | noun | daily | C
round trip | 往復 | A round trip takes about six hours. | noun | daily | B
rush hour | 混雑時 | Avoid the train during rush hour. | noun | daily | A
sightseeing bus | 観光バス | A sightseeing bus leaves every hour. | noun | daily | B
subway line | 地下鉄の路線 | This subway line runs to the airport. | noun | daily | B
taxi stand | タクシー乗り場 | The taxi stand is outside the exit. | noun | daily | B
ticket gate | 改札口 | Wait for me at the ticket gate. | noun | daily | A
tour guide | 添乗員 | Our tour guide spoke three languages. | noun | daily | B
traffic jam | 交通渋滞 | We sat in a traffic jam for an hour. | noun | daily | A
travel insurance | 旅行保険 | Travel insurance is strongly recommended. | noun | daily | B
window seat | 窓側の席 | She always chooses a window seat. | noun | daily | B
youth hostel | ユースホステル | We stayed at a youth hostel. | noun | daily | C
city hall | 市役所 | Get the form at city hall. | noun | society | A
civil right | 市民権 | Everyone should enjoy equal civil rights. | noun | society | C
community center | 公民館 | Classes are held at the community center. | noun | society | B
crime rate | 犯罪率 | The crime rate fell last year. | noun | society | B
crosswalk | 横断歩道 | Cross the street at the crosswalk. | noun | society | B
fire station | 消防署 | The fire station is near the park. | noun | society | B
housing cost | 住居費 | Housing costs keep rising. | noun | society | B
neighborly | 隣人らしい | He is always neighborly and kind. | adjective | society | C
nursery school | 保育園 | Our son attends nursery school. | noun | society | B
police station | 警察署 | He reported the theft at the police station. | noun | society | A
post office | 郵便局 | The post office closes at five. | noun | society | A
public library | 公立図書館 | The public library lends free books. | noun | society | A
public transport | 公共交通機関 | Public transport here is very reliable. | noun | society | A
recycling center | 資源回収施設 | Take the bottles to the recycling center. | noun | society | B
retirement home | 老人ホーム | She visits a retirement home weekly. | noun | society | B
rural area | 農村部 | Fewer young people live in rural areas. | noun | society | B
social media | 交流サイト | Social media spreads news quickly. | noun | society | A
street light | 街灯 | The street light stopped working. | noun | society | B
traffic accident | 交通事故 | A traffic accident closed the road. | noun | society | A
volunteer work | 奉仕活動 | She does volunteer work on weekends. | noun | society | A
voter | 有権者 | Young voters increased this time. | noun | society | B
bring back | 持ち帰る | Bring back the book by Friday. | verb | general | B
check on | 様子を見る | Please check on the baby. | verb | general | B
head for | 〜へ向かう | They headed for the station. | verb | general | B
pass by | 通り過ぎる | A bus passed by without stopping. | verb | general | B
pick out | 選び出す | She picked out a blue scarf. | verb | general | B
put on weight | 太る | I put on weight over the holidays. | verb | health | B
sign up for | 申し込む | I signed up for a cooking class. | verb | education | A
take after | 似ている | He takes after his mother. | verb | general | B
try on | 試着する | May I try on this jacket? | verb | daily | A
use up | 使い切る | We used up all the paper. | verb | general | B
wake up | 目を覚ます | I wake up at six every day. | verb | daily | A
amazed | 驚いた | We were amazed by the view. | adjective | general | B
annoying | いらだたしい | That noise is really annoying. | adjective | general | B
confusing | 紛らわしい | The instructions were confusing. | adjective | general | B
disappointed | 落胆した | She was disappointed with the result. | adjective | general | A
dull | 退屈な | The lecture was rather dull. | adjective | education | B
exhausted | 疲れ切った | We were exhausted after the hike. | adjective | health | B
fantastic | すばらしい | The concert was fantastic. | adjective | general | B
frightened | おびえた | The cat was frightened by the noise. | adjective | general | B
guilty | 罪悪感のある | She felt guilty about lying. | adjective | general | B
impatient | 短気な | He grew impatient in the long line. | adjective | general | B
lively | 活気のある | The market was lively this morning. | adjective | daily | B
messy | 散らかった | Your desk is really messy. | adjective | daily | B
peaceful | 平和な | The village is quiet and peaceful. | adjective | society | B
rapid | 急速な | The city saw rapid growth. | adjective | society | B
relaxed | くつろいだ | He looked relaxed after the trip. | adjective | health | B
satisfied | 満足した | Customers were satisfied with the service. | adjective | business | A
sincere | 誠実な | She sent a sincere apology. | adjective | general | B
talented | 才能のある | He is a talented young pianist. | adjective | general | B
thick | 厚い | She wore a thick winter coat. | adjective | daily | B
unusual | 珍しい | It is unusual to see him angry. | adjective | general | B
obviously | 明らかに | She was obviously tired. | adverb | general | B
originally | もともとは | The house was originally a school. | adverb | general | B
personally | 個人的には | Personally, I prefer tea. | adverb | general | B
possibly | ひょっとすると | The train may possibly be late. | adverb | general | B
seriously | 真剣に | Take this warning seriously. | adverb | general | B
slightly | わずかに | The price rose slightly. | adverb | business | B
art museum | 美術館 | The art museum opens at ten. | noun | education | A
audience seat | 観客席 | Every audience seat was taken. | noun | daily | C
badminton | バドミントン | We played badminton after class. | noun | daily | B
baseball glove | 野球のグローブ | He left his baseball glove at school. | noun | daily | B
board game | ボードゲーム | We played a board game all evening. | noun | daily | B
bowling alley | ボウリング場 | The bowling alley is open until midnight. | noun | daily | C
brass band | 吹奏楽団 | She plays flute in the brass band. | noun | education | B
calligraphy | 書道 | He practices calligraphy every Sunday. | noun | education | B
camping gear | キャンプ用品 | We packed our camping gear. | noun | daily | B
cheerleader | 応援団員 | The cheerleaders practiced in the gym. | noun | education | C
chess | チェス | My grandfather taught me chess. | noun | daily | B
concert hall | 演奏会場 | The concert hall was completely full. | noun | daily | B
crossword puzzle | クロスワード | She solves a crossword puzzle daily. | noun | daily | C
dance lesson | 舞踊のけいこ | I take a dance lesson on Fridays. | noun | daily | B
drawing paper | 画用紙 | Bring drawing paper to art class. | noun | education | C
fireworks | 花火 | We watched fireworks from the bridge. | noun | daily | A
fishing rod | 釣りざお | He bought a new fishing rod. | noun | daily | C
guitar lesson | ギターの練習 | My guitar lesson starts at four. | noun | daily | B
gymnastics | 体操 | She has practiced gymnastics since childhood. | noun | daily | B
hiking trail | 登山道 | The hiking trail was muddy. | noun | environment | B
horse riding | 乗馬 | Horse riding is popular at that ranch. | noun | daily | C
ice skating | アイススケート | We went ice skating in January. | noun | daily | B
karate | 空手 | He has practiced karate for six years. | noun | daily | B
knitting | 編み物 | Knitting is her winter hobby. | noun | daily | C
martial art | 武道 | Judo is a traditional martial art. | noun | daily | B
movie theater | 映画館 | The movie theater was almost empty. | noun | daily | A
musical instrument | 楽器 | She plays three musical instruments. | noun | daily | A
opening ceremony | 開会式 | The opening ceremony starts at nine. | noun | education | B
painting class | 絵画教室 | She joined a painting class. | noun | education | B
photo album | 写真帳 | We looked through an old photo album. | noun | daily | B
photography | 写真撮影 | Photography is his main hobby. | noun | daily | B
piano recital | ピアノ発表会 | Her piano recital is next Sunday. | noun | daily | C
pottery | 陶芸 | This town is famous for pottery. | noun | education | B
practice game | 練習試合 | We won the practice game easily. | noun | daily | B
running track | 陸上競技場 | Students ran around the running track. | noun | education | B
score board | 得点板 | The score board showed a tie. | noun | daily | C
skiing | スキー | Skiing is popular in this town. | noun | daily | B
sports day | 運動会 | Sports day was moved to Saturday. | noun | education | A
stage performance | 舞台公演 | Their stage performance impressed everyone. | noun | daily | B
swimming pool | 水泳プール | The swimming pool closes in September. | noun | daily | A
table tennis | 卓球 | We played table tennis after school. | noun | daily | B
team captain | 主将 | The team captain gave a short speech. | noun | daily | B
ticket booth | 切符売り場 | Buy your ticket at the ticket booth. | noun | daily | C
trophy | 優勝杯 | Our team won the silver trophy. | noun | daily | B
warm up | 準備運動をする | Warm up before you start running. | verb | health | B
watercolor | 水彩画 | She paints watercolors of flowers. | noun | education | C
weight training | 筋力訓練 | He does weight training twice weekly. | noun | health | B
antenna | アンテナ | The antenna on the roof fell down. | noun | technology | C
app store | アプリ配信所 | I downloaded it from the app store. | noun | technology | B
battery life | 電池の持ち | This phone has long battery life. | noun | technology | B
cable | ケーブル | Connect the cable to the monitor. | noun | technology | B
charging port | 充電端子 | The charging port is dirty. | noun | technology | C
computer screen | 画面 | Do not stare at the computer screen too long. | noun | technology | B
data plan | 通信契約 | My data plan runs out quickly. | noun | technology | B
digital camera | デジタルカメラ | He bought a small digital camera. | noun | technology | B
download | 取り込む | Download the file before the trip. | verb | technology | A
email address | メールアドレス | Write your email address clearly. | noun | technology | A
error message | 誤り表示 | An error message appeared on screen. | noun | technology | B
file size | ファイル容量 | The file size is too large. | noun | technology | B
home appliance | 家電 | Home appliances are on the fifth floor. | noun | technology | B
inbox | 受信箱 | My inbox is full of messages. | noun | technology | B
mobile app | アプリ | The mobile app is free to use. | noun | technology | A
online meeting | オンライン会議 | We joined an online meeting from home. | noun | technology | B
remote control | リモコン | The remote control is under the sofa. | noun | technology | B
robot | ロボット | This robot cleans the floor. | noun | technology | B
screen time | 画面利用時間 | Try to reduce your screen time. | noun | technology | B
security camera | 防犯カメラ | A security camera records the entrance. | noun | technology | B
smart speaker | スマートスピーカー | She asked the smart speaker for the weather. | noun | technology | C
software update | ソフト更新 | A software update fixed the problem. | noun | technology | B
text message | 携帯メール | Send me a text message when you arrive. | noun | technology | A
touch screen | タッチ画面 | The touch screen stopped responding. | noun | technology | B
upload | 送信する | She uploaded the photos last night. | verb | technology | A
username | 利用者名 | Enter your username and password. | noun | technology | B
video game | テレビゲーム | He plays video games on weekends. | noun | technology | A
voice message | 音声メッセージ | I left a voice message for her. | noun | technology | B
baby shower | 出産祝いの会 | We held a baby shower for her. | noun | daily | C
best wishes | ご多幸を祈る | She sent best wishes for the new year. | noun | daily | C
birthday card | 誕生日カード | He wrote a birthday card for his sister. | noun | daily | B
congratulate | 祝う | We congratulated her on the award. | verb | daily | B
family gathering | 親族の集まり | A family gathering is planned for August. | noun | daily | B
farewell gift | 餞別 | They gave him a farewell gift. | noun | daily | C
gift shop | 土産物店 | The gift shop closes at six. | noun | daily | B
greeting card | あいさつ状 | She keeps every greeting card. | noun | daily | B
guest list | 招待客名簿 | The guest list is almost finished. | noun | daily | C
holiday season | 行楽期 | Hotels are full during the holiday season. | noun | daily | B
housewarming | 新築祝い | We were invited to a housewarming party. | noun | daily | C
invitation card | 招待状 | The invitation card arrived yesterday. | noun | daily | B
national holiday | 祝日 | Monday is a national holiday. | noun | society | A
new year | 新年 | We visit a shrine every new year. | noun | society | A
party host | 主催者 | The party host welcomed each guest. | noun | daily | C
reception desk | 受付 | Please sign in at the reception desk. | noun | business | B
retirement party | 退職祝い | His retirement party was held Friday. | noun | business | C
thank you note | 礼状 | She wrote a thank you note by hand. | noun | daily | B
wedding anniversary | 結婚記念日 | Today is their tenth wedding anniversary. | noun | daily | B
conversation topic | 話題 | Weather is a safe conversation topic. | noun | general | B
first impression | 第一印象 | First impressions matter at interviews. | noun | general | B
handshake | 握手 | They exchanged a firm handshake. | noun | general | C
misunderstanding | 誤解 | A small misunderstanding caused the trouble. | noun | general | B
nod | うなずく | He nodded and left the room. | verb | general | B
reminder | 注意喚起 | Send a reminder before the meeting. | noun | business | B
rumor | うわさ | The rumor spread across the school. | noun | society | B
sign language | 手話 | She is learning sign language. | noun | society | B
small talk | 世間話 | We made small talk in the elevator. | noun | general | B
speech contest | 弁論大会 | He won the English speech contest. | noun | education | A
warning | 警告 | The warning came too late. | noun | general | A
belt | ベルト | His belt is made of leather. | noun | daily | B
blouse | ブラウス | She ironed her white blouse. | noun | daily | B
button hole | ボタン穴 | The button hole is too small. | noun | daily | C
casual clothes | 普段着 | Wear casual clothes to the picnic. | noun | daily | B
dressing room | 試着室 | The dressing room is at the back. | noun | daily | B
fitting | 試着 | The fitting took only five minutes. | noun | daily | C
hood | フード | Pull up your hood in the rain. | noun | daily | C
pajamas | パジャマ | He was still in his pajamas. | noun | daily | B
raincoat | 雨具 | Take a raincoat with you. | noun | daily | B
sandal | サンダル | She wore sandals to the beach. | noun | daily | B
size chart | 寸法表 | Check the size chart before ordering. | noun | business | C
sleeve | そで | The sleeves are a little long. | noun | daily | B
sunglasses | サングラス | He wears sunglasses while driving. | noun | daily | B
zipper | ファスナー | The zipper on my bag broke. | noun | daily | B
adhesive tape | 粘着テープ | Fix the box with adhesive tape. | noun | daily | C
