# 熟語・句動詞（架け橋層として扱う）
# word|meaning|pos|rank|domain|example

look forward to|楽しみに待つ|verb|A|general|I look forward to hearing from you.
look into|調査する|verb|B|society|The police are looking into the accident.
look up|調べる|verb|A|education|Look up the word in a dictionary.
look up to|尊敬する|verb|B|society|He looks up to his older sister.
major in|専攻する|verb|B|education|She majored in economics.
make a difference|違いを生む|verb|B|society|Small actions can make a difference.
make sense|意味をなす|verb|A|general|That explanation makes sense.
make sure|確認する|verb|A|general|Make sure you lock the door.
make up for|埋め合わせる|verb|B|general|He worked late to make up for lost time.
no longer|もはや〜ない|other|A|general|The store is no longer open on Sundays.
not only|〜だけでなく|other|A|general|Not only students but also teachers joined.
on average|平均して|other|B|society|On average, students study two hours a day.
on behalf of|〜を代表して|other|C|business|She spoke on behalf of the group.
on purpose|わざと|other|B|general|He did it on purpose.
on time|時間通りに|other|A|general|The train arrived on time.
out of date|時代遅れの|other|B|technology|The information is out of date.
out of order|故障して|other|B|technology|The elevator is out of order.
participate in|参加する|verb|A|education|Fifty students participated in the program.
pass away|亡くなる|verb|B|daily|Her grandfather passed away last year.
pay attention to|注意を払う|verb|A|education|Pay attention to the spelling.
pick up|拾う、迎えに行く|verb|A|daily|I will pick you up at seven.
point out|指摘する|verb|A|education|She pointed out a mistake in the report.
prevent from|〜を妨げる|verb|A|general|The rain prevented us from going out.
provide with|〜に供給する|verb|A|business|The school provides students with tablets.
put off|延期する|verb|A|general|They put off the meeting until Friday.
put out|消す|verb|B|society|Firefighters put out the fire quickly.
put up with|我慢する|verb|B|general|I cannot put up with this noise.
rather than|〜よりむしろ|other|A|general|She walked rather than took a taxi.
refer to|言及する、参照する|verb|B|education|The report refers to last year's data.
regardless of|〜に関係なく|other|C|society|Anyone can join, regardless of age.
result in|結果として〜になる|verb|B|society|The accident resulted in long delays.
run out of|使い果たす|verb|A|general|We ran out of paper.
set up|設立する、設置する|verb|A|business|They set up a small company.
so far|今のところ|other|A|general|So far there have been no problems.
sold out|売り切れの|other|A|daily|The concert tickets are sold out.
stand for|表す、意味する|verb|B|education|What does this letter stand for?
stay up|夜更かしする|verb|B|daily|He stayed up late studying.
succeed in|〜に成功する|verb|A|general|She succeeded in getting a scholarship.
take advantage of|利用する|verb|B|business|Take advantage of the free lessons.
take care of|世話をする|verb|A|daily|Who takes care of the plants?
take off|離陸する、脱ぐ|verb|A|daily|The plane took off on time.
take part in|参加する|verb|A|society|Many families took part in the event.
take place|開催される、起こる|verb|A|society|The festival takes place in August.
take turns|交代でする|verb|B|daily|We took turns driving.
tend to|〜する傾向がある|verb|A|general|People tend to buy more in December.
thanks to|〜のおかげで|other|A|general|Thanks to your advice, I passed.
throw away|捨てる|verb|A|environment|Do not throw away plastic bottles.
turn down|断る、音量を下げる|verb|B|general|He turned down the offer.
turn in|提出する|verb|B|education|Turn in your homework tomorrow.
turn out|結局〜とわかる|verb|B|general|It turned out to be a good decision.
up to date|最新の|other|B|technology|Keep your software up to date.
used to|以前は〜だった|verb|A|general|There used to be a bookstore here.
work on|取り組む|verb|A|general|She is working on a new project.
work out|うまくいく、運動する|verb|A|health|Everything worked out in the end.
would rather|むしろ〜したい|verb|B|general|I would rather stay home tonight.
