# Tier 2: 準2級・2級 架け橋層（CEFR A2+）その1
# word|meaning|pos|rank|domain|example

dress|服装、着せる|noun|A|daily|She wore a blue dress.
drop|落とす、落ちる|verb|A|general|Be careful not to drop it.
dry|乾いた、乾かす|adjective|A|environment|The soil is very dry.
during|〜の間|other|A|general|It rained during the night.
duty|義務、任務|noun|B|society|It is our duty to help.
earn|稼ぐ|verb|A|business|He earns enough to live on.
edge|端、へり|noun|B|general|Do not stand near the edge.
effect|効果、影響|noun|A|general|The medicine had no effect.
either|どちらか|other|A|general|Either answer is acceptable.
electricity|電気|noun|A|technology|The storm cut the electricity.
else|他に|adverb|A|general|Is there anything else?
emergency|緊急事態|noun|B|health|Call this number in an emergency.
empty|空の|adjective|A|daily|The box was empty.
enemy|敵|noun|B|society|They were once enemies.
energy|活力、元気|noun|A|health|I had no energy after the long trip.
engine|エンジン|noun|A|technology|The engine makes a strange noise.
enough|十分な|adjective|A|general|We do not have enough chairs.
enter|入る|verb|A|general|Please do not enter this room.
entrance|入口|noun|A|daily|The entrance is on the left.
envelope|封筒|noun|B|daily|Put the letter in an envelope.
environment|環境、周囲の状況|noun|A|environment|Children learn faster in a quiet environment.
error|誤り|noun|B|technology|The program showed an error.
escape|逃げる|verb|B|society|The animals escaped from the zoo.
essay|小論文|noun|B|education|Write an essay of 100 words.
exactly|正確に|adverb|A|general|That is exactly what I meant.
examination|試験、検査|noun|A|education|The examination lasts two hours.
example|例|noun|A|education|Give me an example.
excellent|優れた|adjective|A|education|Her work was excellent.
excited|わくわくして|adjective|A|daily|The children were excited about the trip.
exciting|わくわくさせる|adjective|A|daily|It was an exciting game.
excuse|言い訳、許す|noun|A|daily|That is no excuse.
exhibition|展示会|noun|B|education|The exhibition runs until May.
expert|専門家|noun|A|education|Experts disagree about the cause.
explain|説明する|verb|A|education|Can you explain this rule?
extra|余分の|adjective|A|business|Is there an extra charge?
fair|公平な、かなりの|adjective|A|society|The rules must be fair to everyone.
false|誤った|adjective|B|education|Mark the sentence true or false.
famous|有名な|adjective|A|general|The city is famous for its temples.
fashion|流行|noun|B|daily|The fashion changes every year.
fasten|締める|verb|B|daily|Please fasten your seat belt.
fat|脂肪、太った|noun|B|health|This food is high in fat.
favorite|お気に入りの|adjective|A|daily|What is your favorite sport?
fear|恐れ|noun|B|health|He has a fear of flying.
feed|えさを与える|verb|A|daily|Do not feed the birds.
feeling|感情|noun|A|health|I had a strange feeling.
female|女性の|adjective|B|society|Half of the members are female.
festival|祭り|noun|A|society|The festival lasts three days.
field|分野、畑|noun|A|education|She works in the field of medicine.
fill|満たす|verb|A|daily|Fill the bottle with water.
fit|合う、健康な|verb|A|health|These shoes do not fit.
fix|修理する、固定する|verb|A|technology|Can you fix my bike?
flat|平らな|adjective|B|general|The land here is flat.
flight|飛行、便|noun|A|daily|The flight takes two hours.
float|浮かぶ|verb|B|environment|Leaves floated on the water.
floor|床、階|noun|A|daily|The office is on the third floor.
flow|流れる|verb|B|environment|The river flows into the sea.
follow|従う、後を追う|verb|A|general|Follow the instructions carefully.
foreign|外国の|adjective|A|society|He studies a foreign language.
forest|森|noun|A|environment|A path leads into the forest.
forever|永遠に|adverb|B|general|Nothing lasts forever.
forget|忘れる|verb|A|daily|Do not forget your umbrella.
forgive|許す|verb|B|society|She forgave him at last.
form|形、用紙|noun|A|daily|Fill out this form, please.
former|前の|adjective|B|society|The former mayor now teaches.
fortunately|幸いにも|adverb|B|general|Fortunately, no one was hurt.
forward|前方へ|adverb|A|general|Move forward one step.
freeze|凍る|verb|B|environment|The lake freezes in winter.
fresh|新鮮な|adjective|A|daily|The fish is very fresh.
friendly|親しみやすい|adjective|A|daily|The staff were friendly.
frighten|怖がらせる|verb|B|daily|The noise frightened the cat.
full|いっぱいの|adjective|A|general|The bus was full.
fun|楽しみ|noun|A|daily|We had a lot of fun.
furniture|家具|noun|B|daily|They bought new furniture.
