# Tier 1: 基礎既習語彙（中学〜高校基礎 / CEFR A1-A2）f-o
# word|meaning|pos|rank|domain|example

mom|お母さん|noun|A|daily|
Monday|月曜日|noun|A|daily|
money|お金|noun|A|business|
monkey|猿|noun|B|environment|
month|月|noun|A|daily|
moon|月（天体）|noun|A|technology|
more|もっと多くの|other|A|general|
morning|朝|noun|A|daily|
most|最も多くの|other|A|general|
mother|母|noun|A|daily|
mountain|山|noun|A|environment|
mouse|ねずみ|noun|B|environment|
mouth|口|noun|A|health|
move|動く、引っ越す|verb|A|general|
movie|映画|noun|A|daily|
much|多量の|other|A|general|
museum|博物館|noun|A|education|
music|音楽|noun|A|daily|
musician|音楽家|noun|B|general|
must|〜しなければならない|other|A|general|
name|名前|noun|A|daily|
near|近くに|other|A|general|
neck|首|noun|B|health|
need|必要とする|verb|A|general|
never|決して〜ない|adverb|A|general|
new|新しい|adjective|A|general|
news|ニュース|noun|A|society|
newspaper|新聞|noun|A|society|
next|次の|adjective|A|general|
nice|すてきな|adjective|A|daily|
night|夜|noun|A|daily|
nine|9|other|A|general|
no|いいえ、〜がない|other|A|general|
nobody|誰も〜ない|other|A|general|
none|何も〜ない|other|B|general|
noon|正午|noun|A|daily|
north|北|noun|A|general|
nose|鼻|noun|A|health|
not|〜でない|adverb|A|general|
note|メモ、覚え書き|noun|A|education|
nothing|何も〜ない|other|A|general|
November|11月|noun|A|daily|
now|今|adverb|A|general|
number|数、番号|noun|A|general|
o'clock|〜時|other|A|daily|
October|10月|noun|A|daily|
of|〜の|other|A|general|
off|離れて|other|A|general|
office|事務所|noun|A|business|
often|しばしば|adverb|A|general|
oil|石油、油|noun|A|environment|
old|古い、年をとった|adjective|A|general|
on|〜の上に|other|A|general|
only|唯一の、ただ|adjective|A|general|
open|開ける、開いた|verb|A|general|
or|または|other|A|general|
orange|オレンジ|noun|A|daily|
other|他の|adjective|A|general|
out|外へ|adverb|A|general|
outside|外側に|other|A|general|
over|〜の上に、〜を越えて|other|A|general|
