# 熟語・句動学 追加分
# word|meaning|pos|rank|domain|example

hold on|待つ、しっかりつかまる|verb|B|daily|Hold on a moment, please.
in advance of|〜に先立って|other|C|business|Send the file in advance of the meeting.
in a hurry|急いで|other|A|daily|She left in a hurry.
in front of|〜の前に|other|A|general|Wait in front of the station.
in need of|〜を必要として|other|B|society|The school is in need of volunteers.
in other words|言い換えれば|other|A|education|In other words, the plan failed.
in relation to|〜に関して|other|C|education|The report says little in relation to cost.
in return for|〜の見返りに|other|C|business|They received a discount in return for the review.
in short|要するに|other|B|education|In short, the plan is too expensive.
in time|間に合って|other|A|general|We arrived just in time.
keep away from|〜に近づかない|verb|B|health|Keep away from the edge.
keep on|〜し続ける|verb|A|general|He kept on working until midnight.
lay off workers|従業員を解雇する|verb|C|business|The plant laid off workers last year.
learn by heart|暗記する|verb|B|education|Learn these ten words by heart.
let go of|手放す|verb|C|general|She let go of the rope.
little by little|少しずつ|other|B|education|Your English will improve little by little.
look around|見て回る|verb|A|daily|Feel free to look around the shop.
look like|〜のように見える|verb|A|general|It looks like rain.
look out|気をつける|verb|B|society|Look out for cars.
lose weight|体重を減らす|verb|A|health|He lost weight by walking daily.
make a decision|決定する|verb|A|business|We must make a decision today.
make a mistake|間違える|verb|A|education|Everyone makes mistakes.
make friends|友達になる|verb|A|society|She made friends quickly.
make progress|進歩する|verb|A|education|You are making good progress.
make up one's mind|決心する|verb|B|general|He made up his mind to study abroad.
more and more|ますます多くの|other|A|society|More and more people work from home.
more or less|多かれ少なかれ|other|C|general|The two plans are more or less the same.
no matter what|何があっても|other|B|general|No matter what happens, keep going.
of course|もちろん|other|A|general|Of course you can join us.
on the other hand|一方で|other|A|education|On the other hand, the cost is higher.
on the whole|全体として|other|C|education|On the whole, the results were good.
once in a while|時々|other|B|daily|We meet once in a while.
one another|お互いに|other|B|society|The members support one another.
pay back|返済する|verb|B|business|He paid back the loan in two years.
put away|片付ける|verb|B|daily|Put away your books.
put on|着る、身につける|verb|A|daily|Put on your coat; it is cold.
right away|すぐに|other|A|general|Call the office right away.
run into|偶然会う、ぶつかる|verb|B|daily|I ran into an old friend.
set off|出発する|verb|C|daily|They set off before dawn.
show up|現れる|verb|B|daily|He did not show up for the meeting.
sit down|座る|verb|A|daily|Please sit down.
slow down|速度を落とす|verb|A|society|Slow down near the school.
stand out|目立つ|verb|B|business|The design stands out.
stay in touch|連絡を保つ|verb|B|society|Let us stay in touch.
stick to|〜を守り通す|verb|B|health|Stick to your plan.
take a break|休憩する|verb|A|health|Take a break every hour.
take a look|見てみる|verb|A|general|Take a look at page five.
take away|持ち去る|verb|B|daily|Please take away the empty plates.
take back|返品する、撤回する|verb|B|business|I took back the shirt to the store.
take notes|メモを取る|verb|A|education|Take notes during the lecture.
take over|引き継ぐ|verb|B|business|She took over the project in April.
take time|時間がかかる|verb|A|general|Learning a language takes time.
talk about|〜について話す|verb|A|daily|They talked about their trip.
thank you for|〜をありがとう|other|A|daily|Thank you for your quick reply.
think of|〜を思いつく|verb|A|general|I cannot think of a better idea.
turn off|消す|verb|A|environment|Turn off the lights when you leave.
turn on|つける|verb|A|daily|Turn on the air conditioner.
up to now|今まで|other|B|general|Up to now there have been no problems.
wait for|〜を待つ|verb|A|daily|Wait for me at the gate.
watch out|注意する|verb|B|society|Watch out for the step.
worry about|〜を心配する|verb|A|health|Do not worry about the result.
write down|書き留める|verb|A|education|Write down the new words.
